,Identification,, Pricing ,,Product Attributes,,,,,,,,,Site Status,,Shop Segmentation,Fulfillment,,Sales Operation,,,,,,,,,,,,,
Product Name,Variant Name,SKU, Retail Price , Sale Price ,Length (in),Width (in),Foam Thickness (in),Weight,Straps, Line Length (ft) , Color , Description , Image URL ,Live on site?,Woo ID,Which Shop?,Flat Rate,Oversized?,Opening Stock,Reorder Level,Labor Cost,Inventory Valuation Method,Brand,Is Returnable Item,Variant ID,Variant Type,Taxable,Product Type,Product ID,UPC,EAN,ISBN
Mid Link,Mid Link-Black/2ft,LNK-MD-2F-BLA, $ 165.00 ,,24,14,2,2,2,, Black ," Add Mid Links to any Mid system to extend your padded protection area. Links connect via a hidden zipper system.

- ""No tool"" installation with connected straps & buckles
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Ships directly to your door
- Best Use: extending XL pads for more height  ", Mid Link.jpg ,TRUE,,PilePad,$15.00,No,0,,,fifo,PilePad,true,2663788000013062959,inventory,true,goods,,,,
Slim+,"Slim+-Black/2 ft/Short (24"")",SLI-2F-SHO-BLA, $ 165.00 ,,24,7,6,1,"Short (24"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013062931,inventory,true,goods,,,,
Slim+,"Slim+-Black/2 ft/Standard (52"")",SLI-2F-STA-BLA, $ 165.00 ,,24,7,6,1,"Standard (52"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013062933,inventory,true,goods,,,,
Slim+,"Slim+-Black/2 ft/Large (72"")",SLI-2F-LAR-BLA, $ 177.00 ,,24,7,6,1,"Long (72"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$10.00,No,0,,25,fifo,PilePad,true,2663788000013062935,inventory,true,goods,,,,
Slim+,"Slim+-Black/4 ft/Short (24"")",SLI-4F-SHO-BLA, $ 330.00 , $ 310.00 ,48,7,6,2,"Short (24"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$10.00,No,0,,50,fifo,PilePad,true,2663788000013062937,inventory,true,goods,,,,
Slim+,"Slim+-Black/4 ft/Standard (52"")",SLI-4F-STA-BLA, $ 330.00 , $ 310.00 ,48,7,6,2,"Standard (52"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$10.00,No,0,,50,fifo,PilePad,true,2663788000013062939,inventory,true,goods,,,,
Slim+,"Slim+-Black/4 ft/Large (72"")",SLI-4F-LAR-BLA, $ 342.00 , $ 322.00 ,48,7,6,2,"Long (72"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$10.00,No,0,,50,fifo,PilePad,true,2663788000013062941,inventory,true,goods,,,,
Slim+,"Slim+-Black/6 ft/Short (24"")",SLI-6F-SHO-BLA, $ 495.00 , $ 465.00 ,72,7,6,3,"Short (24"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$15.00,No,0,,75,fifo,PilePad,true,2663788000013062943,inventory,true,goods,,,,
Slim+,"Slim+-Black/6 ft/Standard (52"")",SLI-6F-STA-BLA, $ 495.00 , $ 465.00 ,72,7,6,3,"Standard (52"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,$15.00,No,0,,75,fifo,PilePad,true,2663788000013062945,inventory,true,goods,,,,
Slim+,"Slim+-Black/6 ft/Large (72"")",SLI-6F-LAR-BLA, $ 507.00 , $ 477.00 ,72,7,6,3,"Long (72"")",, Black ," Whoever invented those black rubber dock strips didn’t care about your boat. We do. Our Slim+ is a renaissance in dock fenders. Slim+ is instant relief for your boat at the dock. Thick enough to keep you safe from barnacles, soft enough for the most custom paint job, and straps on without a single tool.

Choose Your Strap Length
Different applications need different strap sizes. Choose your preferred size at checkout. 

Short 24” objects with 9” diameter, or smaller
Standard 52” most dock applications
Long 72” (+$6/each) for odd shapes and unique locations

- Includes 2 straps
- Beveled edges for a premium look
- Durable, UV-resistant outer shell
- Connect Slim+ together for a larger pad
- Ships directly to your door
- Best Use: Dock pilings, bring-a-long fenders ", Coming Soon ,TRUE,,PilePad,,No,0,,75,fifo,PilePad,true,2663788000013062947,inventory,true,goods,,,,
